Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Stormwater_int,Appropriate_Location,Suggested_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices_Notes,Nurseries,PhotoCredit01,PhotoCredit02,PhotoCredit03,PhotoCredit04,Additional_Species_Cultivars_Varieties,Special_List,Habitat,Habitat_int,Thrifty150,Thrifty150_int,Sidewalk_Landscaping_Plants,Sidewalk_Landscaping_Plants_int,Super60,Super60_int,Top20,Top20_int,Shady_Clay,Shady_Clay_int,Sandy_Soil,Sandy_Soil_int
Ceanothus 'Ray Hartman',Ray Hartman Ceanothus,Rhamnaceae,,Tree (evergreen),Spring,Blue,13-24 ft,CA Native,,Sun,Sand;Loam,,None,,Birds;Hummingbirds;Butterflies,No,0,Sidewalk,11;17;20,1 (A),,,"SelecTree. ""Ceanothus 'Ray Hartman' Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Ceanothus 'Ray Hartman' Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Ceanothus 'Ray Hartman' Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Ceanothus 'Ray Hartman' Photo Record."" 1995-2012. Jul 3, 2014.",,,Yes,1,,,,,,,,,,,,
Ceanothus thyrsiflorus ,Blueblossom,Rhamnaceae,,Shrub (evergreen),Spring,Blue,1-3 ft,SF Native,Chaparral;Coastal scrub;Woodland,Sun,Clay;Loam,Minimal,None,Cover;Buds/greens;Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1,Sidewalk;Garden,NA,NA,"Fragrant flowers. Attracts Cedar Waxwing bird and Echo Blue (Celestrina ladon echo), California Tortoiseshell (Nymphalis californica) butterflies.",Oaktown;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,Elaine with Grey Cats (CC BY-SA 2.0),M. Martin Vicente (CC BY 2.0),Leonora Enking (CC BY-SA 2.0),pépiniériste 85 (CC BY-NC-SA 2.0),,Top 20,Yes,1,,,Yes,1,Y,1,,1,,,,
Celtis sinensis,Chinese Hackberry,Ulmaceae,,Tree (deciduous),Spring,,> 24 ft,Exotic,,Sun,,,Low,,Birds;Butterflies,No,0,Sidewalk,NA,2 (B),"Prefers heat, wind protection, uneven performer.",,"SelecTree. ""Celtis sinensis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Celtis sinensis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Celtis sinensis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Celtis sinensis Photo Record."" 1995-2012. Jul 3, 2014.",,,Yes,1,,,,,,,,,,,,
Cercis occidentalis,Redbud,Fabaceae,,Tree (deciduous),Spring,Pink,13-24 ft,CA Native,Chaparral;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Pollinator,Bees;Birds;Hummingbirds,Yes,1,Garden,NA,NA,,,©1994 Gary A. Monroe (CC BY-NC 3.0),©2000 Joseph Dougherty/ecology.org,©2009 Barry Breckling (CC BY-NC-SA 3.0),©2008 Steve Matson,,,Yes,1,,,,,,,,,,,,
Chlorogalum pomeridianum,Soap Plant,Agavaceae,,Perennial,Summer,White,1-3 ft,SF Native ,Chaparral;Coastal scrub;Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam;Sand,,Low,Buds/greens;Pollinator,Bees;Butterflies;Insects,No,0,Garden,NA,NA,Tough plant that is easy to grow. Flowers only open in evening or very overcast weather.,Oaktown;Native Here;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2009 Neal Kramer,Beatrice F. Howitt © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College",©2004 George W. Hartwell,,Shady Clay,Yes,1,,,,,Y,1,,,Shady Clay,1,,
Cirsium brevistylum,Indian Thistle,Asteraceae,,Perennial,Spring;Summer,Indigo,4-6 ft,SF Native ,Coastal scrub;Woodland,Sun;Part Shade,Clay;Loam;Rock,,None,Buds/greens;Pollinator,Bees;Butterflies;Insects,No,0,Garden,NA,NA,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,,,Yes,1,,,,,,,,,,,,
Cirsium occidentale var. californicum,California Thistle,Asteraceae,,Perennial,Summer,Indigo,7-12 ft,CA Native,Coastal scrub;Dunes;Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Buds/greens;Pollinator,Bees;Butterflies;Insects,No,0,Garden;Roof,1,NA,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",,©2011 Jean Pawek,Beatrice F. Howitt © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College",Gladys Lucille Smith © California Academy of Sciences,,,Yes,1,,,,,,,,,,,,
Cirsium occidentale var. candidissimum,Snowy Thistle,Asteraceae,,Perennial,Summer,Magenta,7-12 ft,CA Native,Coastal scrub;Dunes;Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Buds/greens;Pollinator,Bees;Butterflies;Insects,No,0,Garden,NA,NA,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",,©2001 Gary A. Monroe (CC BY-NC 3.0),©2002 Gary A. Monroe (CC BY-NC 3.0),©1981 Gary A. Monroe (CC BY-NC 3.0),©2005 George W. Hartwell,,,Yes,1,,,,,,,,,,,,
Cirsium occidentale var. compactum,Compact Cobweb Thistle,Asteraceae,,Perennial,Spring,Magenta,4-6 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Buds/greens;Pollinator,Bees;Butterflies;Insects,No,0,Garden;Roof,NA,NA,"Rare: CNPS 1B.2 . Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",,Gerald and Buff Corsi © California Academy of Sciences,©1981 California Native Plant Society,©1993 California Native Plant Society,©2005 Laura Ann Eliassen,,,Yes,1,,,,,,,,,,,,
Clarkia davyi,Davy's Clarkia,Onagraceae,,Annual,Summer,Pink,4-6 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie,Sun;Part Shade,Clay;Loam;Sand,,Low,Pollinator,"Bees, Butterflies",No,0,Garden,NA,NA,,,©2013 John Doyen,"© Br. Alfred Brousseau, Saint Mary's College",©2013 Vernon Smith (CC BY-NC-ND 3.0),©2013 Robert Sikora,,,Yes,1,,,,,,,,,,,,
Clarkia purpurea,Winecup Clarkia,Onagraceae,,Annual,Spring;Summer,Pink,< 1 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie,Sun;Part Shade,Clay;Loam;Sand,,Low,Pollinator,"Bees, Butterflies",No,0,Garden,NA,NA,,,©2010 Vernon Smith (CC BY-NC-ND 3.0),©2013 Joshua McDill (CC BY-NC-SA 3.0),©2005 Keir Morse (CC BY-NC-SA 3.0),©2009 Gary A. Monroe (CC BY-NC 3.0),,,Yes,1,,,,,,,,,,,,
Clarkia rubicunda,Farewell to Spring,Onagraceae,,Annual,Summer,Pink,1-3 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie,Sun;Part Shade,Clay;Loam,,None,Pollinator,"Bees, Butterflies",No,0,Garden,NA,NA,,Oaktown;Native Here;Candlestick;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2009 Vernon Smith (CC BY-NC-ND 3.0),©2009 Barry Breckling (CC BY-NC-SA 3.0),©2011 Margo Bors,©2011 Margo Bors,,,Yes,1,,,,,Y,1,,,,,,
Clarkia unguiculata,Woodland Clarkia,Onagraceae,,Annual,Summer,Pink,4-6 ft,CA Native,Coastal scrub;Dunes;Grassland/prairie,Sun;Part Shade,Clay;Loam;Sand,,Low,Pollinator,"Bees, Butterflies",No,0,Garden;Roof,NA,NA,,,©2001 George W. Hartwell,©2011 Barry Breckling (CC BY-NC-SA 3.0),©2007 Chris Winchell,©2012 Diane Beauton & Cynthia Nunn.,,,Yes,1,,,,,,,,,,,,
Asplenium scolopendrium,Hart's Tongue Fern,Aspleniaceae,,Fern,,,1-3 ft,Exotic,,Part Shade;Shade,,,Low,,,,,Garden,NA,NA,,,©2011 Zoya Akulova,©2011 Zoya Akulova,,,,,,,Yes,1,,,,,,,,,,
Clematis ligusticifolia,Western Virgin's Bower,Ranunculaceae,,Perennial,Summer,White,> 24 ft,CA Native,Wetland,Sun;Part Shade,Loam;Sand,,Moderate,Cover;Pollinator,Butterflies;Hummingbirds,Yes,1,Garden;Roof,NA,NA,,,©2010 Barry Breckling (CC BY-NC-SA 3.0),©2010 Lee Dittmann,©2010 Lee Dittmann,Beatrice F. Howitt © California Academy of Sciences,,,Yes,1,,,,,,,,,,,,
Clinopodium douglasii,Yerba Buena,Lamiaceae,Satureja douglasii,Perennial,Summer,White,< 1 ft,SF Native ,Coastal scrub;Woodland,Part Shade,Clay;Loam;Sand;Rock,Minimal,Low,Cover,No data,Yes,1,Garden;Roof,NA,NA,Temperamental and may not persist. Fragrant foliage.,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,"© Br. Alfred Brousseau, Saint Mary's College",©2012 Jean Pawek,©2012 Aaron Arthur,©2012 Gary McDonald,,Shady Clay,Yes,1,Yes,1,Yes,1,Y,1,,,Shady Clay,1,,
Collinsia heterophylla,Chinese Houses,Plantaginaceae,,Annual,Spring;Summer,Purple,4-6 ft,SF Native,Chaparral;Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam;Sand,,Low,Buds/greens,Bees;Butterflies;Insects,No,0,Garden,NA,NA,Rare plant. Attracts Checkerspot Butterfly.,,©2009 Lynn Watson,"© Br. Alfred Brousseau, Saint Mary's College",©2010 Neal Kramer,©2008 Steve Matson,,,Yes,1,,,,,,,,,,,,
Cordyline australis,Cabbage Palm,Asparagaceae,,Tree (evergreen),Summer,,13-24 ft,Exotic,,Sun;Part Shade,,,Low,,,No,0,Sidewalk,NA,2 (B),"Needs very large basin, take care when planting near natural areas.",,"SelecTree. ""Cordyline australis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Cordyline australis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Cordyline australis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Cordyline australis Photo Record."" 1995-2012. Jul 3, 2014.",,,,,,,Yes,1,,,,,,,,
Corethrogyne filaginifolia,Common Sand Aster,Asteraceae,Lessingia filaginifolia,Perennial,Summer,Pink;Purple,1-3 ft,CA Native,Chaparral;Coastal scrub;Dunes,Sun;Part Shade,Clay;Loam;Sand,,Low,Buds/greens;Pollinator,Bees;Butterflies;Insects,No,0,Garden;Roof,NA,NA,,,©2012 Robert Sikora,©2013 Neal Kramer,©2012 Robert Sikora,©2012 Robert Sikora,,,Yes,1,,,,,,,,,,,,
Cornus sericea,American Dogwood,Cornaceae,,Shrub (deciduous),Spring;Summer,White,4-6 ft,SF Native ,Wetland;Riparian,Sun;Part Shade,Clay;Loam;Sand;Rock,,Moderate,Buds/greens;Cover;Pollinator,Bees;Birds;Butterflies;Insects,Yes,1,Garden,NA,NA,Attracts Sprin Azure / Echo Blue (Celastrina ladon echo) butterfly.,,"© Br. Alfred Brousseau, Saint Mary's College",Charles Webber © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College",©2012 Jean Pawek,,,Yes,1,,,,,,,,,,,,
Cornus sericea ssp. occidentalis,California Dogwood,Cornaceae,,Shrub (deciduous),Summer,White,7-12 ft,SF Native,Wetland;Riparian,Sun;Shade,Clay;Loam;Sand;Rock,,Moderate,Buds/greens,Birds;Insects,No,0,Garden,11,NA,Attracts Cedar Waxwing bird.,,©2011 Aaron Arthur,©2009 Barry Breckling (CC BY-NC-SA 3.0),©2011 Margo Bors,©2011 Margo Bors,,,Yes,1,,,,,,,,,,,,
Corylus cornuta,California Hazelnut,Betulaceae,,Tree (deciduous),Winter,Red,7-12 ft,SF Native ,Coastal scrub;Woodland;Riparian,Sun;Shade,Clay;Loam;Sand,,Low,Fruit,Birds,Yes,1,Garden,NA,NA,,,©2009 Keir Morse (CC BY-NC-SA 3.0),©2010 Barry Breckling (CC BY-NC-SA 3.0),Charles Webber © California Academy of Sciences,©2011 Aaron Arthur,,,Yes,1,,,,,,,,,,,,
Corymbia ficifolia,Red Flowering Gum,Myrtaceae,,Tree (evergreen),Summer,Red,> 24 ft,Exotic,,Sun,,,Low,,Bees;Birds;Butterflies,No,0,Sidewalk,NA,2 (B),"Needs a very large basin, wide sidewalk.",,"SelecTree. ""Corymbia ficifolia Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Corymbia ficifolia Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Corymbia ficifolia Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Corymbia ficifolia Photo Record."" 1995-2012. Jul 3, 2014.",,,Yes,1,,,Yes,1,,,,,,,,
Crataegus phaenopyrum,Washington Hawthorn,Rosaceae,,Tree (deciduous),Spring,White,13-24 ft,Exotic,,Sun;Part Shade,,,Low,,Birds;Butterflies;Bees,No,0,Sidewalk,NA,2 (B),"Subject to pests, has thorns, may be susceptible to fireblight.",,"SelecTree. ""Crataegus phaenopyrum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Crataegus phaenopyrum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Crataegus phaenopyrum Photo Record."" 1995-2012. Jul 3, 2014.",F.D. Richards (CC BY-SA 2.0),,,Yes,1,,,Yes,1,,,,,,,,
Crataegus x Lavallei,Lavallée's hawthorn,Rosaceae,,Tree (deciduous),,White,13-24 ft,Exotic,,,,,Low,,,No,0,Sidewalk,NA,2 (B),,,"SelecTree. ""Crataegus × lavallei 'Carrierei' Photo Record."" 1995-2012. Jul 7, 2014.",Jami Dwyer (CC BY-SA 2.0),Margrit (CC BY-NC-SA 2.0),Jon Sullivan (CC BY-NC 2.0),,,,,,,Yes,1,,,,,,,,
Cressa truxillensis,Alkali Weed,Convolvulaceae,"C.depressa, C. insularis",Perennial,Summer,White,< 1 ft,CA Native,Chaparral;Wetland,Sun;Shade,Loam;Sand,Minimal,Low,,No data,No,0,Garden,NA,NA,,,©2013 Neal Kramer,©2013 Don Davis (CC BY-NC-SA 3.0),©2001 James Reiter,©2008 Zoya Akulova (CC BY-NC 3.0),,,Yes,1,,,,,,,,,,,,
Syagrus romanzoffiana,Queen Palm,Arecaceae,,Tree (evergreen),,,> 24 ft,Exotic,,Sun,,,Low,,,No,0,Sidewalk;Garden,NA,2 (B),"Needs heat, wind protection.",,"SelecTree. ""Syagrus romanzoffiana Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Syagrus romanzoffiana Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Syagrus romanzoffiana Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Syagrus romanzoffiana Photo Record."" 1995-2012. Jul 8, 2014.",,,,,,,Yes,1,,,,,,,,
Symphoricarpos albus,Common Snowberry,Caprifoliaceae,,Shrub (deciduous),Summer,Pink,1-3 ft,SF Native ,Woodland;Coastal scrub,Sun;Part Shade;Shade,Clay;Loam;Sand;Rock,,Low,Cover;Fruit,Birds;Hummingbirds;Insects,Yes,1,Sidewalk;Garden,NA,NA,"Attracts quail, pheasant, and grouse.",,©2011 Zoya Akulova  (CC BY-NC 3.0),©2001 Lynn Overtree,©2006 Tom Greer,©2006 Louis-M. Landry,,,Yes,1,Yes,1,Yes,1,,,,,,,,
Symphoricarpos mollis,Trailing Snowberry,Caprifoliaceae,,Shrub (deciduous),Spring;Summer,Pink,1-3 ft,SF Native ,Woodland;Coastal scrub,Sun;Part Shade;Shade,Clay;Loam;Sand,,Low,Cover;Fruit;Pollinator;Nesting,Bees;Birds;Butterflies,No,0,Garden,NA,NA,,,©Keir Morse,©Keir Morse,©Barry Breckling,©2010 Franco Folini (CC BY-SA 2.0),,,Yes,1,,,,,,,,,,,,
Symphyotrichum chilense,Wild Aster,Asteraceae,Aster chilensis,Perennial,Summer,Pink,1-3 ft,SF Native ,Chaparral;Coastal scrub;Dunes;Grassland/prairie;Riparian;Woodland,Sun,Clay;Loam;Sand;Rock,,None,Buds/greens;Pollinator,Bees;Birds;Butterflies;Insects,No,0,Garden;Roof,1;16;6,NA,Attracts Field Crescent (Phyciodes campestris) butterfly.,,©2011 Aaron Arthur,©2011 Steven Perry,©2009 Neal Kramer,©2013 Robert Sikora,,Top 20,Yes,1,,,,,,,,1,,,,
Tanacetum bipinnatum,Dune Tansy,Asteraceae,Tanacetum camphoratum,Perennial,Summer;Fall,Yellow,1-3 ft,SF Native ,Dunes,Sun,Sand,,None,,No data,No,0,Garden;Roof,13;5,NA,,Oaktown;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2012 Neal Kramer,©2012 Neal Kramer,©2012 Neal Kramer,©1999 René Charest,,Sandy Soil,Yes,1,,,,,Y,1,,,,,Sandy Soil,1
Tellima grandiflora,Fringe Cups,Saxifragaceae,,Perennial,Spring;Summer,Pink;White,1-3 ft,SF Native ,Woodland;Coastal scrub,Part Shade;Shade,Loam;Clay,,Low,Cover;Pollinator,Birds;Butterflies;Hummingbirds,No,0,Garden,NA,NA,"Self-sowing, but not weedy.",Oaktown;Native Here;Mission Blue;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2012 RT Hawke (CC BY-NC 3.0),©2008 Steve Matson,©2008 Steve Matson,©2006 George W. Hartwell,,Shady Clay,Yes,1,,,,,Y,1,,,Shady Clay,1,,
Tilia cordata,Littleleaf Linden,Malvaceae,,Tree (deciduous),Spring,Yellow,> 24 ft,Exotic,,Sun,,,Low,,Butterflies,No,0,Sidewalk;Garden,NA,2 (B),Slow grower.,,"SelecTree. ""Tilia cordata Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tilia cordata Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tilia cordata Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tilia cordata Photo Record."" 1995-2012. Jul 8, 2014.",,,Yes,1,,,Yes,1,,,,,,,,
Trifolium fucatum,Bull Clover,Fabaceae,,Annual,Spring,Red;White,1-3 ft,SF Native ,Coastal scrub;Riparian;Woodland,Sun,Clay;Loam;Sand,,Moderate,,Butterflies;Insects,No,0,Garden,NA,NA,Wet grower. Attracts Orange Sulphur (Colias eurytheme).,,©2009 Neal Kramer,©2005 Bob Huettmann,©2003 George W. Hartwell,©2008 Zoya Akulova (CC BY-NC 3.0),,,Yes,1,,,,,,,,,,,,
Trifolium gracilentum,Pinpoint Clover,Fabaceae,,Annual,Spring,Pink;White;Purple,1-3 ft,SF Native ,Grassland/prairie;Woodland,Sun,Clay;Loam;Sand,,Low,,Butterflies;Insects,No,0,Garden,NA,NA,Attracts Orange Sulphur (Colias eurytheme).,,©2006 Doreen L. Smith,©2012 Gary A. Monroe  (CC BY-NC 3.0),©2008 Zoya Akulova  (CC BY-NC 3.0),©2008 Zoya Akulova  (CC BY-NC 3.0),,,Yes,1,,,,,,,,,,,,
Trifolium variegatum,Whitetip Clover,Fabaceae,,Annual,Spring;Summer,Pink;White;Purple,1-3 ft,SF Native ,Coastal scrub;Riparian;Woodland,Sun,Clay;Loam;Sand,,Low,,Butterflies;Insects,No,0,Garden,16,NA,Attracts Orange Sulphur (Colias eurytheme).,,©2013 Zoya Akulova (CC BY-NC 3.0),©2013 Jean Pawek,©2003 Steve Matson,©2012 Aaron Schusteff,,,Yes,1,,,,,,,,,,,,
Trifolium willdenovii,Tomcat Clover,Fabaceae,,Annual,Spring,Pink;White;Purple,1-3 ft,SF Native ,Chaparral;Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam,,None,Pollinator,Bees;Birds;Butterflies,No,0,Garden,NA,NA,Attracts Orange Sulphur (Colias eurytheme) and Bay Checkerspot butterflies.,,©2003 Dianne Fristrom (CC BY-SA 3.0),©2009 Neal Kramer,©2003 Dianne Fristrom (CC BY-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),,,Yes,1,,,,,,,,,,,,
Trifolium wormskioldii,Cow Clover,Fabaceae,,Perennial,Spring,Pink,< 1 ft,SF Native ,Chaparral;Grassland/prairie;Riparian;Wetland;Woodland,Sun;Part Shade,Clay;Loam;Sand,,Moderate,,No data,No,0,Garden,NA,NA,Wet grower.,,©2002 Tom Annese,©2009 Dr. Mark S. Brunell,Sherry Ballard © California Academy of Sciences,Charles Webber © California Academy of Sciences,,,Yes,1,,,,,,,,,,,,
Tristaniopsis laurina,Water Gum,Myrtaceae,Tristania laurina,Tree (evergreen),Spring,Yellow,13-24 ft,Exotic,,Sun,Clay;Loam;Sand,,None,,,Yes,1,Sidewalk;Garden,NA,1 (A),,,"SelecTree. ""Tristaniopsis laurina Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tristaniopsis laurina Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tristaniopsis laurina Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tristaniopsis laurina Photo Record."" 1995-2012. Jul 8, 2014.",,,,,,,Yes,1,,,,,,,,
Euthamia occidentalis,Western Goldenrod,Asteraceae,Solidago occidentalis,Perennial,Summer;Fall,Yellow,4-6 ft,SF Native ,Grassland/prairie;Riparian;Wetland,Sun;Part Shade,Clay;Loam;Sand,,Low,Pollinator,Bees;Butterflies,yes,1,Garden,NA,NA,,,©2003 Michael Charters,©2003 Michael Charters,©2003 Michael Charters,©2007 Neal Kramer,,,Yes,1,,,,,,,,,,,,
Tristaniopsis laurina  'Elegant',Elegant Brisbane Box,Myrtaceae,,Tree (evergreen),Spring;Summer,Yellow,13-24 ft,Exotic,,Sun,,,Low,,,No,0,Sidewalk;Garden,NA,2 (B),"Foremerly know as Tristania laurina ‘Elegant’; grows slowly, irregular form, mod-high maintenance.",,"SelecTree. ""Tristaniopsis laurina 'Elegant' Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tristaniopsis laurina 'Elegant' Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tristaniopsis laurina 'Elegant' Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tristaniopsis laurina 'Elegant' Photo Record."" 1995-2012. Jul 8, 2014.",,,,,,,Yes,1,,,,,,,,
Typha domingensis,Southern Cattail,Typhaceae,,Perennial,Spring;Summer,Brown,7-12 ft,SF Native ,Riparian;Wetland,Sun,Clay;Loam;Sand,,Moderate,Cover;Nesting,Birds,No,0,Garden,10,NA,"Wet grower, fresh water, travels and can be a maintenance problem very easily. Attracts Red-Wing Black bird.",,"© Br. Alfred Brousseau, Saint Mary's College",©2009 Neal Kramer,©2012 Aaron Arthur,©2010 lara hartley,,,Yes,1,,,,,,,,,,,,
Typha latifolia,Broadleaf Cattail,Typhaceae,,Perennial,Spring,Brown;Yellow,7-12 ft,SF Native ,Riparian;Wetland,Sun,Clay;Loam;Sand,,Moderate,Cover;Nesting,Birds,yes,1,Garden,10,NA,"Wet grower, fresh water, travels and can be a maintenance problem very easily.",,©2003 George W. Hartwell,"© Br. Alfred Brousseau, Saint Mary's College",Gerald and Buff Corsi © California Academy of Sciences,©2009 Barry Rice (CC BY-NC-SA 3.0),,,Yes,1,,,,,,,,,,,,
"Ulmus parvifolia 'Drake', 'Sempervirens'",Drake/Sempervirens Chinese Elm,Ulmaceae,,Tree (deciduous),,,> 24 ft,Exotic,Exotic,Sun,,,Low,,"Butterflies, Birds",No,0,Sidewalk,NA,1 (A),"Fast grower, which initially requires higher maintenance.",,"SelecTree. ""Ulmus parvifolia Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Ulmus parvifolia Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Ulmus parvifolia Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Ulmus parvifolia Photo Record."" 1995-2012. Jul 8, 2014.",,,Yes,1,,,Yes,1,,,,,,,,
Urtica dioica ssp. gracilis,Stinging Nettle,Urticaceae,,Perennial,Spring;Summer,Green;White,4-6 ft,SF Native ,Riparian;Wetland,Sun;Part Shade,Clay;Loam;Sand,,Moderate,Buds/greens,Butterflies;Insects,No,0,Garden,NA,NA,"Attracts Red Admiral (Vanessa atalanta), Satyr Anglewing (Polygonia satyrus), and West Coast Lady (Vanessa annabella).",,"© Br. Alfred Brousseau, Saint Mary's College",Toni Corelli (CC BY-NC 2.0),Toni Corelli (CC BY-NC 2.0),Photo by Pancrazio Campagna,,,Yes,1,,,,,,,,,,,,
Urtica dioica ssp. holosericea,Hoary Nettle,Urticaceae,,Perennial,Summer,Yellow,4-6 ft,SF Native ,Riparian;Wetland,Sun,Clay;Loam;Sand,,Low,Buds/greens,Butterflies;Insects,No,0,Garden,NA,NA,"Attracts Red Admiral (Vanessa atalanta), Satyr Anglewing (Polygonia satyrus), West Coast Lady (Vanessa annabella).",,©2013 Neal Kramer,"© Br. Alfred Brousseau, Saint Mary's College",©2007 Dr. Mark S. Brunell,"© Br. Alfred Brousseau, Saint Mary's College",,,Yes,1,,,,,,,,,,,,
Vaccinium ovatum,Huckleberry,Ericaceae,,Shrub (evergreen),Spring;Winter,White,7-12 ft,SF Native ,Woodland;Coastal scrub,Sun;Part Shade;Shade,Clay,,Low,Fruit;Pollinator;Nesting,Bees;Birds;Butterflies,Yes,1,Garden,NA,NA,,,©2007 Neal Kramer,©2009 Keir Morse (CC BY-NC-SA 3.0),©2011 Zoya Akulova (CC BY-NC 3.0),©2013 Terry Gosliner (CC BY-NC 3.0),,,Yes,1,,,,,,,,,,,,
Verbena bonariensis,Purpletop Vervain,Verbenaceae,,Annual,Spring,Purple,4-6 ft,Exotic,Riparian,Sun;Part Shade,Loam,,Low,Pollinator,Bees;Butterflies;Hummingbirds,No,0,Garden,NA,NA,Attracts Mournful Duskywing (Erynnis tristis).,,©2008 Jorg Fleige  (CC BY-NC 3.0),©2012 Jean Pawek,"© Br. Alfred Brousseau, Saint Mary's College",©2012 Jean Pawek,,,Yes,1,Yes,1,,,,,,,,,,
Verbena lasiostachys,Western Vervain,Verbenaceae,,Perennial,Spring;Summer,Purple,1-3 ft,CA Native,Riparian;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,Low,Pollinator,Bees;Birds;Butterflies;Insects,No,0,Garden,NA,NA,Attracts Mournful Duskywing (Erynnis tristis).,,©2008 Keir Morse  (CC BY-NC-SA 3.0),©2008 Keir Morse  (CC BY-NC-SA 3.0),©2008 Keir Morse  (CC BY-NC-SA 3.0),©2011 Michael O'Brien,,,Yes,1,,,,,,,,,,,,
